MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,"Aantal Aansluitingen",%Leveringsrichting,"%Fysieke status","%Defintieve aansl (NRM)","%Soort aansluiting","Soort aansluiting Naam",SJV,"%SJV laag tarief","%Slimme Meter","Gemiddeld aantal telwielen"
"Liander N.V.","Liander N.V. (NW)",,"De Ruyterkade Steigers",1011AA,1011AB,AMSTERDAM,NL,ELK,KVB,34,100,47.06,100,29,3x25,13601,41.18,20.59,1.3
"Liander N.V.","GAS Liander",,"De Ruyterkade",1011AC,1011AC,AMSTERDAM,NL,GAS,KVB,23,100,73.91,100,39,G6,5227,0,26.09,
"Liander N.V.","Liander N.V. (NW)",,"De Ruyterkade",1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,38,100,57.89,100,34,3x25,14672,36.84,26.32,1
"Liander N.V.","Liander N.V. (NW)",,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,19,100,5.26,100,58,3x25,4026,47.37,0,1.5
"Liander N.V.","GAS Liander",,Oosterdokskade,1011AD,1011AE,AMSTERDAM,NL,GAS,KVB,11,100,45.45,100,82,G4,1131,0,9.09,
"Liander N.V.","Liander N.V. (NW)",,"Oosterdokskade AB",1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,100,36.84,100,63,3x25,3239,31.58,5.26,1
,"GAS Liander",,"Prins Hendrikkade",1011AG,1011AH,AMSTERDAM,NL,GAS,KVB,27,100,100,100,96,G4,2528,0,22.22,
,"Liander N.V. (NW)",,"Prins Hendrikkade",1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,29,1x35,19220,50,35.71,1.6
,"Liander N.V. (NW)",,"Prins Hendrikkade",1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,100,100,100,67,1x25,4238,14.29,4.76,1.1
"Liander N.V.","Liander N.V. (NW)",,"Prins Hendrikkade",1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,21,100,90.48,100,48,1x35,8360,38.1,38.1,1.1
"Liander N.V.","GAS Liander",,"Prins Hendrikkade",1011AJ,1011AJ,AMSTERDAM,NL,GAS,KVB,16,100,93.75,100,75,G4,1508,0,43.75,
,"Liander N.V. (NW)",,"Prins Hendrikkade",1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,100,61.54,100,46,3x25,9634,30.77,7.69,1
"Liander N.V.","Liander N.V. (NW)",,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,15,100,80,100,40,3x25,13024,66.67,60,1.3
"Liander N.V.","GAS Liander",,"Prins Hendrikkade",1011AM,1011AN,AMSTERDAM,NL,GAS,KVB,29,100,93.1,100,83,G4,2263,0,58.62,
,"Liander N.V. (NW)",,"Prins Hendrikkade",1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,29,100,86.21,100,38,1x35,2146,48.28,41.38,1.3
"Liander N.V.","Liander N.V. (NW)",,"Prins Hendrikkade",1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,100,70,100,50,1x35,5926,55,45,1
,"GAS Liander",,"Prins Hendrikkade",1011AP,1011AP,AMSTERDAM,NL,GAS,KVB,19,100,73.68,100,89,G4,3285,0,47.37,
"Liander N.V.","Liander N.V. (NW)",,"Prins Hendrikkade",1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,32,100,90.63,100,44,1x35,7583,25,15.63,1.3
