MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,
Liander N.V.,Liander N.V. (NW),Liander NW,Rijksweg A44,1000AA,1011AA,NIEUW VENNEP,NL,ELK,KVB,17,100,64.71,100,29,OBK,9064,23.53,0,1.7
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AB,1011AB,AMSTERDAM,NL,ELK,KVB,25,100,68,100,28,3x25,14981,16,0,1.4
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,33,100,66.67,100,30,3x25,11210,15.15,3.03,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,21,100,23.81,100,57,3x25,3859,38.1,0,1.6
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,100,36.84,100,68,3x25,2989,26.32,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,12,100,91.67,100,50,3x25,17293,58.33,16.67,1.6
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,100,100,100,67,1x25,3187,14.29,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,18,100,83.33,100,39,1x25,9344,11.11,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,54,3x25,6333,23.08,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,43,3x25,7072,35.71,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,28,100,96.43,100,32,3x25,2753,10.71,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,100,70,100,50,1x35,5289,15,5,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,33,100,93.94,100,42,1x25,7010,21.21,3.03,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,SCHIPPERSSTR,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,46,3x25,4607,23.08,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,17,100,100,100,41,3x25,6940,23.53,0,1.4
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,100,88.89,100,50,3x25,4799,16.67,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,67,1x25,2725,9.52,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Buiten Bantammerstraat,1011AX,1011AX,AMSTERDAM,NL,ELK,KVB,15,100,86.67,100,53,3x25,3968,6.67,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011AZ,1011AZ,AMSTERDAM,NL,ELK,KVB,16,100,93.75,100,63,1x35,3298,75,68.75,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011BA,1011BA,AMSTERDAM,NL,ELK,KVB,13,100,23.08,100,54,3x25,1901,30.77,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,ELK,KVB,24,100,95.83,100,50,1x35,3383,16.67,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,23,100,78.26,100,65,3x25,4416,21.74,21.74,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant AB,1011BE,1011BE,AMSTERDAM,NL,ELK,KVB,10,100,100,100,70,3x25,2703,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BG,1011BG,AMSTERDAM,NL,ELK,KVB,17,100,70.59,100,82,3x25,2396,11.76,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,32,100,93.75,100,56,3x25,3376,15.63,3.13,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,22,100,90.91,100,45,1x25,6422,22.73,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,100,100,100,50,3x25,2560,0,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,100,100,100,87,1x25,1831,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,100,71.43,100,76,3x25,3394,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,17,100,88.24,100,76,3x25,3068,5.88,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,100,100,100,53,1x25,2828,20,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,26,100,76.92,100,62,3x25,3165,11.54,3.85,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,100,93.55,100,52,3x25,2660,6.45,3.23,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,20,100,70,100,50,3x25,2390,0,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,100,100,100,55,3x25,2738,3.03,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,100,100,100,100,1x25,1758,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,54,1x25,3860,7.14,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,37,100,56.76,100,73,3x25,1845,0,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,25,100,80,100,52,1x25,2718,12,12,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,21,100,100,100,57,1x25,2704,4.76,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot  94 to,1011CD,1011CD,AMSTERDAM,NL,ELK,KVB,17,100,94.12,100,76,1x25,2325,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CE,1011CE,AMSTERDAM,NL,ELK,KVB,12,91.67,83.33,100,50,3x25,1737,16.67,25,1
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal AB,1011CG,1011CH,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,46,3x25,9883,14.29,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CJ,1011CJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,81,1x25,6379,12.5,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CK,1011CK,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,1x25,2162,0,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,100,100,100,80,1x25,1615,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Jonkerstraat,1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,63,100,82.54,100,33,1x25,2623,4.76,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Ridderstraat,1011CN,1011CR,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,50,1x25,3703,7.14,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CS,1011CS,AMSTERDAM,NL,ELK,KVB,26,100,100,100,69,1x25,1840,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CT,1011CT,AMSTERDAM,NL,ELK,KVB,18,100,88.89,100,44,1x25,2608,0,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CV,1011CV,AMSTERDAM,NL,ELK,KVB,18,100,100,100,83,1x25,2003,5.56,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CW,1011CW,AMSTERDAM,NL,ELK,KVB,15,100,100,100,53,1x25,2549,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CX,1011CX,AMSTERDAM,NL,ELK,KVB,19,100,100,100,68,1x25,2105,0,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CZ,1011CZ,AMSTERDAM,NL,ELK,KVB,20,100,95,100,65,1x25,2487,20,20,1
