MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AB,1011AB,AMSTERDAM,NL,ELK,KVB,23,100,78.26,100,43,3x25,14761,39.13,0,1.9,52.37777895,4.90558954
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,31,100,77.42,100,58,3x25,12139,16.13,0,2,52.37741248,4.908366485
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,21,100,66.67,100,52,3x25,5082,47.62,0,2.3,52.37633964,4.906366778
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,15,100,60,100,93,3x25,3712,33.33,0,2,52.3755845,4.910773815
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,12,100,91.67,100,83,3x25,19837,41.67,0,1.4,52.37587508,4.902921301
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,100,100,100,100,3x25,3781,14.29,0,1.1,52.3756894,4.902931444
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,89,3x25,3478,5.56,0,2.1,52.37543484,4.902830653
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,11,100,90.91,100,82,3x25,5395,36.36,0,2.1,52.37464881,4.903881878
Liander N.V.,Liander N.V. (NW),Liander NW,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,71,3x25,10168,35.71,0,2.7,52.37412891,4.904894217
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,27,100,96.3,100,85,3x25,3143,25.93,0,1.4,52.374012,4.905070261
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,19,100,94.74,100,100,3x25,5034,15.79,0,1.7,52.37390359,4.905291585
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,33,100,96.97,100,82,3x25,7184,27.27,0,1.5,52.37371616,4.905609
Liander N.V.,Liander N.V. (NW),Liander NW,SCHIPPERSSTR,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,54,3x25,6801,46.15,0,1.5,52.37343285,4.906105172
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,17,100,100,100,71,3x25,9116,64.71,0,2,52.37327418,4.906393574
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,83,3x25,4777,27.78,0,1.6,52.3730859,4.906764357
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,95,3x25,3156,9.52,0,1.4,52.37295977,4.906985012
Liander N.V.,Liander N.V. (NW),Liander NW,Buiten Bantammerstraat,1011AX,1011AX,AMSTERDAM,NL,ELK,KVB,15,100,86.67,100,100,3x25,3968,6.67,0,1.7,52.37401026,4.904412316
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011AZ,1011AZ,AMSTERDAM,NL,ELK,KVB,14,100,100,100,93,3x25,3139,14.29,0,1.9,52.37329842,4.905631107
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011BA,1011BC,AMSTERDAM,NL,ELK,KVB,32,100,96.88,100,97,3x25,3287,9.38,0,2.2,52.37278311,4.906879699
Liander N.V.,Liander N.V. (NW),Liander NW,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,21,100,76.19,100,95,3x25,4976,4.76,0,2.3,52.37264624,4.906582461
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BG,1011BG,AMSTERDAM,NL,ELK,KVB,17,100,70.59,100,88,3x25,2529,17.65,0,1.5,52.3744218,4.903799567
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,26,100,96.15,100,96,3x25,3518,15.38,0,1.9,52.37365295,4.904445567
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,20,100,95,100,85,3x25,7693,15,0,1.3,52.37342859,4.904855797
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,100,100,100,94,3x25,2484,0,0,2.3,52.37324366,4.905149053
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,100,100,100,100,3x25,2345,4.35,0,1.9,52.37300124,4.905577539
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,100,71.43,100,100,3x25,3242,0,0,1.8,52.3729016,4.905754835
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,16,100,93.75,100,100,3x25,2776,6.25,0,2.6,52.37276488,4.90600043
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,100,100,100,100,3x25,2916,0,0,1.9,52.37262875,4.906249579
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,26,100,80.77,100,96,3x25,2969,11.54,0,1.6,52.37505515,4.902747641
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,28,100,82.14,100,96,3x25,3178,3.57,0,1.2,52.37461522,4.902534889
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,20,100,80,100,95,3x25,2811,5,0,1.1,52.37423873,4.90250337
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,100,100,100,100,3x25,2705,6.06,0,1.1,52.37385739,4.902743391
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,100,100,100,100,3x25,1791,0,0,1,52.37335915,4.903098287
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,96,3x25,3916,7.14,0,1.8,52.37315656,4.903483163
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,37,100,62.16,100,100,3x25,2279,0,0,2.4,52.37293756,4.903857287
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,23,100,95.65,100,96,3x25,2407,0,0,1.7,52.37265763,4.904363975
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,20,100,100,100,95,3x25,2459,10,0,1.2,52.37247242,4.904705504
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot  94 to,1011CD,1011CD,AMSTERDAM,NL,ELK,KVB,17,100,94.12,100,100,3x25,1998,0,0,1,52.3723315,4.904941455
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CE,1011CE,AMSTERDAM,NL,ELK,KVB,11,100,90.91,100,91,3x25,2818,0,0,1.3,52.37218959,4.905207416
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal AB,1011CG,1011CH,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,86,3x25,9445,10.71,0,1.7,52.37389867,4.902160766
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CJ,1011CJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,94,3x25,6143,12.5,0,1.3,52.37370669,4.902599093
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CK,1011CK,AMSTERDAM,NL,ELK,KVB,14,100,100,100,100,3x25,2247,0,0,1.1,52.37386467,4.901876154
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,100,100,100,100,3x25,2034,0,0,1.2,52.37369088,4.902355311
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Jonkerstraat,1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,63,100,63.49,100,89,3x25,2588,1.59,0,2,52.37342669,4.902533036
