MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AB,1011AB,AMSTERDAM,NL,ELK,KVB,24,100,75,100,33,3x25,15694,37.5,0,2.1,52.37777895,4.90558954
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,33,100,72.73,100,30,3x25,11739,15.15,0,2.1,52.37741248,4.908366485
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,21,100,33.33,100,57,3x25,4557,47.62,0,2.3,52.37633964,4.906366778
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,100,36.84,100,68,3x25,3231,26.32,0,2.8,52.3755845,4.910773815
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,12,100,91.67,100,58,3x25,14012,41.67,0,1.4,52.37587508,4.902921301
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,100,100,100,67,1x25,3570,14.29,0,1.1,52.3756894,4.902931444
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,39,1x25,2562,11.11,0,2.1,52.37543484,4.902830653
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,100,92.31,100,62,3x25,9582,38.46,0,2.5,52.37464881,4.903881878
Liander N.V.,Liander N.V. (NW),Liander NW,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,64,3x25,7674,42.86,0,2.7,52.37412891,4.904894217
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,28,100,96.43,100,46,1x25,3637,25,0,1.6,52.374012,4.905070261
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,100,95,100,40,1x25,4584,15,0,2.7,52.37390359,4.905291585
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,33,100,93.94,100,42,1x25,6919,27.27,0,1.5,52.37371616,4.905609
Liander N.V.,Liander N.V. (NW),Liander NW,SCHIPPERSSTR,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,46,3x25,6434,38.46,0,1.5,52.37343285,4.906105172
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,17,100,100,100,71,3x25,8217,58.82,0,2,52.37327418,4.906393574
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,56,3x25,4565,27.78,0,1.6,52.3730859,4.906764357
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,57,1x25,2760,9.52,0,1.4,52.37295977,4.906985012
Liander N.V.,Liander N.V. (NW),Liander NW,Buiten Bantammerstraat,1011AX,1011AX,AMSTERDAM,NL,ELK,KVB,15,100,93.33,100,53,3x25,3748,6.67,0,3.5,52.37401026,4.904412316
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011AZ,1011AZ,AMSTERDAM,NL,ELK,KVB,14,100,100,100,43,1x50,3718,14.29,0,2.9,52.37329842,4.905631107
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011BA,1011BA,AMSTERDAM,NL,ELK,KVB,10,100,30,100,40,3x25,2076,10,0,3.3,52.37349878,4.905649899
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,ELK,KVB,23,100,95.65,100,61,3x25,3332,13.04,0,2.4,52.37278311,4.906879699
Liander N.V.,Liander N.V. (NW),Liander NW,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,22,100,72.73,100,77,3x25,4484,0,0,2.3,52.37264624,4.906582461
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BG,1011BG,AMSTERDAM,NL,ELK,KVB,17,100,70.59,100,88,3x25,2379,11.76,0,2,52.3744218,4.903799567
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,32,100,93.75,100,63,3x25,2834,15.63,0,2.3,52.37365295,4.904445567
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,21,100,90.48,100,48,1x25,6798,23.81,0,1.5,52.37342859,4.904855797
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,100,100,100,63,3x25,2633,0,0,2.4,52.37324366,4.905149053
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,100,100,100,74,1x25,1784,0,0,1.9,52.37300124,4.905577539
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,100,71.43,100,86,3x25,3041,0,0,1.8,52.3729016,4.905754835
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,17,100,88.24,100,76,3x25,2368,5.88,0,2.8,52.37276488,4.90600043
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,100,100,100,53,1x25,2298,20,0,1.9,52.37262875,4.906249579
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,26,100,76.92,100,62,3x25,2710,7.69,0,1.7,52.37505515,4.902747641
