buurtcombinatie,postcode_min,postcode_max
A00,1012AC,1012JP
A00,1012JS,1012JW
A00,1012JZ,1012JZ
A00,1012KC,1012KG
A00,1012KJ,1012KP
A00,1012RA,1012RA
A00,1012XT,1012XT
A00,1012XX,1012XX
A00,1012ZA,1012ZA
A00,1012ZD,1012ZJ
A01,1012AA,1012AB
A01,1012JN,1012JP
A01,1012KB,1012KB
A01,1012KR,1012ML
A01,1012MN,1012MV
A01,1012MX,1012PZ
A01,1012RB,1012VK
A01,1012VM,1012VZ
A01,1012WB,1012WC
A01,1012WE,1012WL
A01,1012WN,1012WV
A01,1012WX,1012XS
A01,1012XW,1012XW
A01,1012XZ,1012XZ
A01,1012ZH,1012ZH
A01,1012ZK,1012ZL
A02,1015AA,1015AW
A02,1015BA,1015CL
A02,1015CN,1015DT
A02,1015GA,1015GC
A02,1016AA,1016CP
A02,1016DB,1016GZ
A02,1016HK,1016HV
A03,1017AA,1017AN
A03,1017AV,1017HL
A03,1017HV,1017JK
A03,1017JT,1017KD
A03,1017KL,1017KP
A03,1017LJ,1017LL
A03,1017LR,1017LV
A03,1017NA,1017NC
A03,1017NS,1017NV
A03,1017NX,1017NX
A03,1017PA,1017PD
A03,1017VH,1017VL
A03,1017VN,1017VS
A04,1011AB,1011BD
A04,1011BG,1011CE
A04,1011CH,1011CZ
A04,1011DB,1011DD
A04,1011DG,1011DL
A04,1011DZ,1011EN
A04,1011ER,1011GD
A04,1011GG,1011KE
A04,1011KH,1011KK
A04,1011KM,1011LE
A04,1011LH,1011MC
A04,1011ME,1011ML
A04,1011MN,1011MV
A04,1011MX,1011NH
A04,1011NK,1011NK
A04,1011NM,1011NS
A04,1011NV,1011NV
A04,1011NX,1011PG
A04,1011PL,1011PN
A04,1011PT,1011PW
A04,1011PZ,1011SG
A04,1011SK,1011SK
A04,1011SM,1011TG
A04,1011TJ,1011VM
A04,1011VP,1011VT
A04,1011VW,1011VZ
A04,1011WB,1011WD
A04,1011XA,1011XA
A04,1012CR,1012CR
A05,1013AA,1013AB
A05,1013AD,1013AG
A05,1013AV,1013AV
A05,1013AZ,1013AZ
A05,1013BH,1013BH
A05,1013BP,1013BR
A05,1013BV,1013BX
A05,1013CG,1013CG
A05,1013CT,1013CT
A05,1013CW,1013CW
A05,1013DA,1013DP
A05,1013EA,1013GT
A05,1013GW,1013HH
A05,1013HK,1013KX
A05,1013LA,1013LC
A05,1013LE,1013LJ
A05,1013LL,1013LR
A05,1013LT,1013LV
A05,1013LX,1013MN
A05,1013MR,1013MV
A06,1015DV,1015EB
A06,1015GC,1015GZ
A06,1015HB,1015MB
A06,1015MD,1015ML
A06,1015MN,1015MV
A06,1015MX,1015NL
A06,1015NP,1015RN
A06,1015RR,1015TE
A06,1015TH,1015VZ
A06,1015WB,1015WL
A06,1015WN,1015WV
A06,1015WX,1015XE
A06,1015XH,1015XX
A06,1015ZA,1015ZB
A06,1015ZD,1015ZL
A06,1015ZN,1015ZR
A06,1016CR,1016CT
A06,1016CW,1016DA
A06,1016HA,1016HJ
A06,1016HW,1016JC
A06,1016KA,1016MC
A06,1016NA,1016NV
A06,1016NX,1016SC
A06,1016SG,1016SV
A06,1016SX,1016VZ
A06,1016WB,1016WC
A06,1016XA,1016ZB
A07,1017AN,1017AS
A07,1017HM,1017HT
A07,1017JL,1017JS
A07,1017KE,1017KK
A07,1017KR,1017LH
A07,1017LM,1017LP
A07,1017LW,1017MC
A07,1017NC,1017NR
A07,1017NX,1017NZ
A07,1017PE,1017VG
A07,1017VL,1017VM
A07,1017VS,1017VZ
A07,1017WB,1017WL
A07,1017WN,1017WP
A07,1017WS,1017WV
A07,1017WZ,1017ZX
A08,1018AN,1018AN
A08,1018AV,1018AV
A08,1018BX,1018BZ
A08,1018CC,1018CH
A08,1018CK,1018GB
A08,1018GD,1018HK
A08,1018SP,1018VZ
A08,1018WB,1018WH
A08,1018WK,1018WL
A08,1018WN,1018WV
A08,1018WZ,1018ZA
A08,1018ZC,1018ZC
A08,1018ZV,1018ZV
A09,1018AA,1018AM
A09,1018AP,1018BX
A09,1018CC,1018CC
A09,1018HL,1018KX
A09,1018LD,1018PL
A09,1018PR,1018RN
A09,1018RR,1018SN
