MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
Liander N.V.,Liander N.V. (NW),,De Ruyterkade Steigers,1011AA,1011AB,AMSTERDAM,NL,ELK,KVB,35,1.0,0.3429,1.0,0.31,3x25,14403,0.4,0.2286,1.3
Liander N.V.,Liander N.V. (NW),,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,39,1.0,0.5640999999999999,1.0,0.28,3x80,18739,0.4103,0.2821,1
Liander N.V.,GAS Liander,,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,GAS,KVB,24,1.0,0.75,1.0,0.38,G6,6589,0.0,0.2917,
Liander N.V.,Liander N.V. (NW),,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,19,1.0,0.0526,1.0,0.58,3x25,4026,0.47369999999999995,0.0,1.5
Liander N.V.,GAS Liander,,Oosterdokskade,1011AD,1011AE,AMSTERDAM,NL,GAS,KVB,11,1.0,0.0909,1.0,0.82,G4,710,0.0,0.0909,
Liander N.V.,Liander N.V. (NW),,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,1.0,0.10529999999999999,1.0,0.63,3x25,3184,0.31579999999999997,0.0526,1
,Liander N.V. (NW),,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,14,1.0,0.9286,1.0,0.29,1x35,20376,0.5,0.35710000000000003,1.6
,GAS Liander,,Prins Hendrikkade,1011AG,1011AH,AMSTERDAM,NL,GAS,KVB,27,1.0,1.0,1.0,0.96,G4,2756,0.0,0.22219999999999998,
,Liander N.V. (NW),,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,1.0,1.0,1.0,0.67,1x25,4170,0.1429,0.047599999999999996,1.1
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9048,1.0,0.48,1x35,8036,0.381,0.381,1.1
Liander N.V.,GAS Liander,,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,GAS,KVB,16,1.0,0.9375,1.0,0.69,G4,1600,0.0,0.4375,
,Liander N.V. (NW),,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,1.0,0.5385,1.0,0.46,3x25,9676,0.3077,0.0,1
Liander N.V.,Liander N.V. (NW),,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,16,1.0,0.8125,1.0,0.44,3x25,12731,0.6875,0.5625,2
Liander N.V.,GAS Liander,,Prins Hendrikkade,1011AM,1011AN,AMSTERDAM,NL,GAS,KVB,29,1.0,0.9309999999999999,1.0,0.83,G4,2171,0.0,0.5861999999999999,
,Liander N.V. (NW),,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,29,1.0,0.7931,1.0,0.38,1x35,2547,0.4828,0.4138,1.3
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,1.0,0.7,1.0,0.5,1x35,6169,0.55,0.45,1
,GAS Liander,,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,GAS,KVB,19,1.0,0.7368000000000001,1.0,0.89,G4,3190,0.0,0.47369999999999995,
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,32,1.0,0.9063,1.0,0.44,1x35,7541,0.25,0.1563,1.3
,GAS Liander,,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,GAS,KVB,19,1.0,1.0,1.0,0.63,G4,2149,0.0,0.2632,
,Liander N.V. (NW),,Prins Hendrikkade,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,11,1.0,0.6364,1.0,0.45,3x25,5247,0.5455,0.1818,1.4
,GAS Liander,,Prins Hendrikkade,1011AS,1011AV,AMSTERDAM,NL,GAS,KVB,22,1.0,1.0,1.0,0.73,G4,4562,0.0,0.5,
,Liander N.V. (NW),,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,14,1.0,0.9286,1.0,0.36,3x25,7889,0.35710000000000003,0.2143,1.3
,Liander N.V. (NW),,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8332999999999999,1.0,0.44,3x25,3988,0.5,0.44439999999999996,1.1
,Liander N.V. (NW),,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,20,1.0,0.95,1.0,0.55,1x35,2395,0.4,0.3,1.3
