Postcode,Verbruik,Inkomen
1011,926015,32500
1012,2869218,27800
1013,1171371,29900
1015,1125178,33400
1016,1361436,35600
1017,2500868,42300
1018,1147374,31700
1019,1178029,41800
1021,520822,24100
1022,185686,29900
1023,435278,31400
1024,829672,27500
1025,1196873,29000
1026,80631,48500
1027,80561,41500
1028,102538,50400
1031,478181,26000
1032,638505,24700
1033,1259481,27000
1034,981893,28300
1035,825552,34700
1036,35990,38600
1051,742313,28900
1052,753780,28800
1053,984375,27400
1054,1244485,35400
1055,926072,26200
1056,786489,27600
1057,796636,26800
1058,727157,33400
1059,443246,31700
1060,441702,41700
1061,515354,26400
1062,544868,30100
1063,881934,25700
1064,892652,27300
1065,685083,27300
1066,1091970,36900
1067,1064514,29000
1068,1046486,27500
1069,1004852,28800
1071,2217545,54300
1072,959626,28800
1073,756574,27900
1074,507846,28900
1075,1180993,42900
1076,702679,33800
1077,1533119,63000
1078,1060767,36600
1079,973094,30400
1081,525280,39200
1082,810577,35600
1083,536705,33600
1086,143244,43500
1087,509794,41500
1091,831401,29100
1092,539097,28100
1093,550371,25800
1094,615493,25700
1095,574687,25800
1096,219891,40900
1097,896508,28000
1098,1099859,41400
1102,1022386,23300
1103,887905,26900
1104,546062,24200
1106,1134121,28400
1107,743592,28100
1108,305628,28500
