Postcode,Verbruik,Inkomen
1011,5300,32500
1012,4500,27800
1013,11500,29900
1015,8600,33400
1016,6300,35600
1017,6800,42300
1018,10500,31700
1019,8500,41800
1021,3400,24100
1022,900,29900
1023,2200,31400
1024,5200,27500
1025,6800,29000
1026,200,48500
1027,200,41500
1028,200,50400
1031,2500,26000
1032,2400,24700
1033,5400,27000
1034,5800,28300
1035,4200,34700
1036,400,38600
1051,7100,28900
1052,6700,28800
1053,8900,27400
1054,9100,35400
1055,9800,26200
1056,9400,27600
1057,8700,26800
1058,7900,33400
1059,3200,31700
1060,3700,41700
1061,4500,26400
1062,3700,30100
1063,5500,25700
1064,7100,27300
1065,4900,27300
1066,7200,36900
1067,7100,29000
1068,7600,27500
1069,10200,28800
1071,6200,54300
1072,7600,28800
1073,7400,27900
1074,4400,28900
1075,5300,42900
1076,5700,33800
1077,4300,63000
1078,7400,36600
1079,7800,30400
1081,2700,39200
1082,5100,35600
1083,3200,33600
1086,1400,43500
1087,6100,41500
1091,7800,29100
1092,4200,28100
1093,4300,25800
1094,6300,25700
1095,4900,25800
1096,600,40900
1097,6500,28000
1098,6000,41400
1102,10500,23300
1103,6300,26900
1104,6000,24200
1106,8300,28400
1107,5500,28100
1108,1700,28500
1109,600,37500
