Postcode,Verbruik,Inkomen
1011,956223,32500
1012,2844127,27800
1013,1186183,29900
1015,1127097,33400
1016,1385663,35600
1017,2488393,42300
1018,1143918,31700
1019,1120864,41800
1021,529690,24100
1022,171227,29900
1023,433979,31400
1024,822461,27500
1025,1181479,29000
1026,91255,48500
1027,75736,41500
1028,102782,50400
1031,511778,26000
1032,661246,24700
1033,1329676,27000
1034,934867,28300
1035,835468,34700
1036,48200,38600
1051,740833,28900
1052,737415,28800
1053,967463,27400
1054,1229722,35400
1055,940008,26200
1056,791208,27600
1057,796996,26800
1058,736727,33400
1059,444702,31700
1060,427519,41700
1061,559291,26400
1062,544291,30100
1063,892033,25700
1064,901803,27300
1065,680581,27300
1066,1047102,36900
1067,1104367,29000
1068,1055679,27500
1069,1023129,28800
1071,2218985,54300
1072,973491,28800
1073,760368,27900
1074,517783,28900
1075,1204897,42900
1076,734108,33800
1077,1565781,63000
1078,1054366,36600
1079,950748,30400
1081,536587,39200
1082,826337,35600
1083,529136,33600
1086,150619,43500
1087,546548,41500
1091,853198,29100
1092,531631,28100
1093,559784,25800
1094,642128,25700
1095,584379,25800
1096,214227,40900
1097,910563,28000
1098,1074012,41400
1102,1037527,23300
1103,860724,26900
1104,545456,24200
1106,1123755,28400
1107,740611,28100
1108,297678,28500
