volgnr,lat,lon,label
1,52.380606,4.849796,4
2,52.296634,4.980631,4
3,52.299502,4.97049,4
4,52.370713,4.941262,4
5,52.395223,4.764069,6
6,52.351376,5.007004,2
7,52.346022,4.793406,4
8,52.31612,4.960273,4
9,52.323955,4.884042,4
10,52.358077,4.918196,4
11,52.343377,4.807294,4
12,52.366218,4.948325,4
13,52.345105,4.886752,4
14,52.383212,4.836061,4
15,52.355106,4.993351,4
16,52.381684,4.849739,3
17,52.347302,4.779887,4
18,52.382063,4.791675,4
19,52.325518,4.863121,4
20,52.405832,4.910241,7
21,52.331149,4.864258,4
22,52.381005,4.836911,4
23,52.362582,4.932638,4
24,52.331281,4.873807,32
25,52.409703,4.930142,4
26,52.362723,4.931829,4
27,52.362012,4.975952,4
28,52.352754,4.994062,4
29,52.343806,4.925522,4
30,52.389279,4.947995,4
31,52.291006,4.969675,4
32,52.361939,4.935933,1
33,52.325274,4.984565,4
34,52.391573,4.929653,4
35,52.300855,4.992834,4
36,52.356197,4.852014,4
37,52.374402,4.79285,4
38,52.382897,4.837872,4
39,52.420052,4.901753,4
40,52.363191,4.941455,4
41,52.349774,4.879361,4
42,52.38089,4.801517,4
43,52.342838,4.814755,4
44,52.364856,4.937357,4
45,52.368435,4.937937,2
46,52.389606,4.790384,16
47,52.406703,4.910114,12
48,52.294588,4.971019,4
49,52.355439,4.926282,4
50,52.347526,4.781542,4
51,52.352793,4.79584,4
52,52.365061,4.831045,4
53,52.402547,4.920341,4
54,52.322875,4.982372,4
55,52.343524,4.806133,4
56,52.364315,4.831069,4
57,52.361219,4.980451,4
58,52.339395,4.894652,4
59,52.348536,4.814741,4
60,52.352522,4.821265,4
61,52.325051,4.857215,4
62,52.316806,4.946378,4
63,52.35202,4.802969,4
64,52.348801,4.808236,4
65,52.367824,4.831862,4
66,52.382178,4.798562,4
67,52.395637,4.764166,7
68,52.289213,4.973561,4
69,52.366853,4.835603,11
70,52.416312,4.906012,4
71,52.376918,4.851163,4
72,52.350311,4.815599,4
73,52.356479,4.959137,6
74,52.342676,4.87143,4
75,52.382225,4.800809,4
76,52.341474,4.910726,4
77,52.408052,4.923869,4
78,52.424015,4.890786,4
79,52.350529,4.831241,4
80,52.327437,4.981054,4
81,52.416992,4.898567,3
82,52.316398,4.98573,4
83,52.359164,4.819463,4
84,52.323936,4.942274,48
85,52.323743,4.86832,4
86,52.359524,4.825257,4
87,52.369133,4.833064,4
88,52.299197,4.994168,4
89,52.367972,4.830759,4
90,52.361919,4.977494,4
91,52.400047,4.908672,21
92,52.4234,4.890029,4
93,52.381374,4.856749,1
94,52.34679,4.787114,4
95,52.300776,4.998758,4
96,52.34823,4.78912,4
97,52.407992,4.92459,4
98,52.355485,4.935793,4
99,52.409319,4.917081,4
100,52.419963,4.906399,4
101,52.366851,4.835324,12
102,52.304507,4.967598,4
103,52.402702,4.905146,3
104,52.381479,4.80076,4
105,52.302914,4.96688,4
106,52.348076,4.785438,4
107,52.375765,4.830999,4
108,52.344433,4.825139,4
109,52.348987,4.775505,4
110,52.351574,4.996141,4
111,52.347029,4.819031,4
112,52.34636,4.803601,4
113,52.326584,4.978715,4
114,52.343328,4.792077,4
115,52.374061,4.822209,4
116,52.296636,4.980939,4
117,52.343871,4.824017,4
118,52.342602,4.810562,4
119,52.343768,4.806511,4
120,52.351515,4.788269,4
121,52.361637,4.934527,4
122,52.308336,4.962636,4
123,52.390233,4.874418,1
124,52.348287,4.777422,4
125,52.399004,4.922245,4
126,52.299197,4.970551,4
127,52.300443,4.990521,4
128,52.351904,4.77134,4
129,52.355969,4.935363,4
130,52.42389,4.888994,4
131,52.380837,4.84925,4
132,52.411985,4.889687,4
133,52.349935,4.814194,4
134,52.374807,4.822332,4
135,52.385671,4.921106,4
136,52.343454,4.924968,4
137,52.344459,4.809995,4
138,52.315667,4.969385,4
139,52.400492,4.947164,4
140,52.300968,4.99449,4
141,52.371628,4.868157,18
142,52.35049,4.913418,4
143,52.295752,4.993348,4
144,52.354924,4.787078,4
145,52.352157,4.939966,4
146,52.359668,4.834856,4
147,52.35459,4.852474,4
148,52.409974,4.899012,4
149,52.358179,4.861062,4
150,52.323632,4.875934,4
151,52.42069,4.895395,4
152,52.327523,4.9774,4
153,52.321962,4.98081,4
154,52.360231,4.838049,4
