volgnr,lat,lon,label
1,52.380607,4.849796,5040
5,52.380127,4.831473,8400
6,52.395224,4.764069,5520
7,52.351377,5.007004,1680
13,52.367953,4.806121,126000
15,52.366219,4.948325,11520
19,52.381685,4.849739,3120
24,52.383866,4.846981,26400
25,52.405833,4.910241,6960
27,52.381006,4.836911,2258
29,52.331282,4.873807,32400
38,52.36194,4.935933,1440
50,52.37527,4.848084,960
52,52.368436,4.937937,2400
53,52.389607,4.790384,16320
54,52.406704,4.910114,12240
57,52.352794,4.79584,2258
62,52.347157,4.862264,1440
68,52.383676,4.864741,6960
71,52.352021,4.802969,2258
75,52.382179,4.798562,5520
76,52.395638,4.764166,7200
79,52.366854,4.835603,10800
81,52.376919,4.851163,1440
84,52.35648,4.959137,5760
86,52.382226,4.800809,1680
92,52.416993,4.898567,3360
95,52.323937,4.942274,48000
102,52.400048,4.908672,20640
103,52.295304,4.945228,15120
105,52.381375,4.856749,1200
113,52.366852,4.835324,11520
116,52.402703,4.905146,2880
125,52.401673,4.908258,960
140,52.390234,4.874418,720
146,52.380424,4.831469,8160
151,52.380838,4.84925,4320
170,52.359669,4.834856,6720
174,52.393836,4.928719,13440
179,52.360232,4.838049,19680
185,52.374067,4.948806,2258
187,52.36704,4.937144,3120
191,52.380483,4.858228,5760
196,52.3432,4.917237,72240
200,52.359503,4.990934,2880
208,52.349531,4.913692,7440
210,52.347923,4.953966,7680
218,52.365021,4.835655,11520
223,52.364138,4.942209,960
224,52.339793,4.917053,3840
226,52.357394,4.895891,1200
238,52.389189,4.908304,10560
239,52.407422,4.912149,11280
242,52.356269,4.773922,9600
258,52.358376,4.854733,7680
265,52.390438,4.820503,0
282,52.393344,4.854035,74880
284,52.346489,4.861597,1920
286,52.38824,4.883063,33600
292,52.34471,4.816991,2258
304,52.351235,5.002089,2258
308,52.354114,4.80275,6960
315,52.41693,4.825573,5760
324,52.399973,4.959849,60000
329,52.353055,4.797627,2258
330,52.351523,4.869933,8880
340,52.380148,4.857703,2640
346,52.383781,4.902194,7440
351,52.395467,4.764081,5520
354,52.339811,4.926385,1440
364,52.354656,4.995659,2258
368,52.355269,4.894975,720
371,52.380589,4.830395,9360
374,52.390688,4.78727,6720
380,52.37125,4.940493,1920
391,52.351012,5.002516,2258
403,52.376859,4.851721,2160
405,52.395146,4.873582,4800
407,52.387065,4.900836,6000
415,52.323236,4.942413,3600
416,52.395241,4.9296,7920
417,52.365752,4.83826,10080
419,52.312827,4.949233,80160
424,52.352132,4.79648,2258
427,52.369128,4.94514,13200
440,52.371422,4.940859,2640
447,52.367571,4.835315,10800
448,52.382204,4.800001,5760
452,52.307395,4.938759,49440
458,52.346355,4.861789,1440
459,52.3546,4.934467,1440
464,52.362976,4.978894,1440
480,52.299225,4.965435,19920
482,52.407797,4.911439,10800
483,52.406266,4.915262,20880
493,52.383043,4.851867,18000
499,52.396643,4.786587,488160
500,52.319378,4.987111,29520
504,52.395636,4.763799,7200
525,52.314345,4.94171,997440
539,52.380271,4.831471,7680
540,52.381053,4.859117,8160
546,52.341061,4.845637,9840
547,52.37137,4.941476,720
552,52.360843,4.789728,17040
559,52.405898,4.910857,14160
567,52.395465,4.763801,4560
570,52.372469,4.810659,2258
577,52.346283,4.863698,1920
589,52.362003,4.826532,2258
591,52.379379,4.858505,11040
595,52.362201,4.978167,960
598,52.374009,4.845544,20400
599,52.381189,4.849231,5760
601,52.314744,4.952412,35280
605,52.341774,4.799259,12240
608,52.380407,4.829795,7920
613,52.378052,4.84128,27840
620,52.390569,4.852628,56640
623,52.365739,4.835632,10320
624,52.380402,4.858097,6960
626,52.386007,4.882105,6960
633,52.316421,4.956384,4560
635,52.353543,4.910229,5280
642,52.365778,4.840109,10080
646,52.363655,4.871759,8640
653,52.339775,4.926268,12960
657,52.351208,5.002148,2258
659,52.358305,4.90758,2160
665,52.395393,4.763788,5760
677,52.368971,4.854386,720
682,52.36061,4.843931,1680
684,52.355326,4.821097,2258
696,52.31427,4.953105,1440
705,52.360476,4.82686,3600
707,52.390867,4.939855,2400
708,52.352296,4.855804,1680
714,52.308381,4.952518,101520
717,52.394983,4.76444,3120
731,52.380453,4.85745,1440
732,52.374373,4.86065,17760
739,52.406926,4.911551,10080
748,52.331275,4.87234,37680
752,52.365768,4.839816,10080
753,52.374766,4.93153,6480
759,52.336655,4.933006,23520
771,52.357086,4.991131,2258
774,52.419066,4.902146,21840
776,52.380655,4.85849,6240
778,52.354138,4.908491,2258
781,52.29907,4.964923,6720
783,52.407113,4.911138,10320
786,52.350904,4.870292,15360
792,52.374013,4.948821,2258
797,52.348211,4.946625,14160
798,52.382215,4.800236,4560
812,52.371445,4.942312,2258
822,52.344548,4.805767,8640
831,52.380909,4.858884,5040
833,52.298891,4.965057,6480
840,52.36477,4.875916,1440
847,52.35936,4.991199,3120
853,52.357907,4.992049,2258
859,52.367212,4.83532,11040
862,52.405763,4.910697,15600
872,52.348148,5.006386,5040
877,52.4132,4.885675,18720
881,52.374194,4.810475,2258
893,52.328664,4.857084,1920
907,52.386185,4.928093,960
908,52.294386,4.987717,52080
919,52.353429,4.910921,13440
921,52.330946,4.873165,45600
934,52.381538,4.799804,5520
938,52.381558,4.875737,2258
942,52.380532,4.831468,5280
944,52.390378,4.887196,86880
949,52.344415,4.855972,4800
954,52.367213,4.835584,10560
955,52.381909,4.908206,5280
957,52.384862,4.864844,27360
958,52.376859,4.92208,47520
959,52.367987,4.950085,5280
960,52.392689,4.821473,43680
961,52.345907,4.815391,26160
962,52.363624,4.986904,480
971,52.352231,4.796434,2258
972,52.3906,4.938095,1440
984,52.35111,5.002339,2258
990,52.351011,5.007873,2258
998,52.351074,5.002398,2258
1001,52.380797,4.857975,4560
1013,52.38052,4.830983,8640
1014,52.377533,4.936068,45840
1015,52.355253,4.820746,2258
1016,52.32487,4.981796,31200
1019,52.364378,4.927246,30480
1021,52.395639,4.764343,6720
1023,52.379396,4.860297,48960
1041,52.340779,4.861004,1680
1049,52.404695,4.922479,140160
1058,52.317508,4.956139,2258
1059,52.382228,4.80122,5760
1064,52.41822,4.904213,5520
1065,52.346823,4.861916,1440
1067,52.362468,4.879832,7440
1082,52.380625,4.857712,2880
1083,52.376905,4.936178,960
1084,52.353355,4.910305,15840
1087,52.374125,4.811151,2258
1090,52.373307,4.871544,11760
1101,52.322882,4.941375,4320
1110,52.395467,4.764169,5280
1128,52.371501,4.940417,2160
1135,52.381456,4.799541,1680
1140,52.331486,4.873247,31680
1146,52.369761,4.800841,5040
1151,52.322861,4.959974,37920
1154,52.354867,4.908542,480
1158,52.375609,4.857522,4800
1161,52.414088,4.887282,3360
1169,52.330942,4.870231,44640
1174,52.382178,4.798386,1680
1175,52.365763,4.838847,10080
1189,52.398628,4.945992,3840
1193,52.363505,4.870307,2400
1194,52.397809,4.938389,27120
1198,52.386636,4.923843,5520
1211,52.333957,4.883679,40080
1213,52.362579,4.87023,7680
1216,52.381072,4.849247,720
1223,52.38223,4.801455,4560
1229,52.344686,4.806558,2258
1234,52.344631,4.806265,2258
1235,52.354462,4.815237,2258
1236,52.401263,4.920458,24720
1245,52.380311,4.857966,6000
1254,52.292518,4.962273,124080
1257,52.340256,4.874994,39600
1260,52.41289,4.915279,5520
1267,52.380706,4.857843,5520
1272,52.388256,4.880581,720
1273,52.395638,4.764254,6960
1279,52.40025,4.831383,36480
1282,52.352776,4.795767,2258
1287,52.405636,4.910551,10080
1289,52.395395,4.76417,7200
1300,52.395046,4.937345,19200
1302,52.395626,4.936178,7200
1305,52.363254,4.931765,8640
1312,52.373207,4.944585,7200
1313,52.373357,4.946405,6480
1321,52.373742,4.948266,2258
1324,52.354124,4.85063,2160
1338,52.380721,4.849266,4800
1344,52.346424,4.845073,5760
1345,52.354529,4.93457,1440
1347,52.38135,4.855177,720
1357,52.351797,4.79415,14400
1361,52.333837,4.830702,7200
1369,52.318476,4.965237,45600
1372,52.381515,4.798821,4320
1374,52.39515,4.763791,5760
1376,52.354781,4.995409,2258
1379,52.359151,4.940013,7680
1386,52.373678,4.933699,5280
1392,52.364977,4.861584,17280
1403,52.402171,4.906959,2258
1406,52.360813,4.785589,2258
1407,52.334248,4.85156,1680
1410,52.308228,4.962299,2258
1412,52.418905,4.90253,23040
1421,52.39979,4.907117,2640
1424,52.371506,4.941577,2258
1426,52.365748,4.83757,10080
1430,52.331488,4.87178,28800
1435,52.38084,4.798624,5520
1436,52.395637,4.764078,6720
1450,52.346778,4.861858,1440
1454,52.382189,4.798797,5760
1463,52.297371,4.975054,23760
1465,52.330944,4.874632,45360
1466,52.381517,4.799056,3600
1478,52.381191,4.84976,4800
1482,52.361678,4.975192,5040
1485,52.346059,4.861881,1920
1486,52.382191,4.799032,4560
