MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
Liander N.V.,Liander N.V. (NW),,De Ruyterkade Steigers,1011AA,1011AB,AMSTERDAM,NL,ELK,KVB,35,100,34.29,100,31,3x25,14403,40,22.86,1.3
Liander N.V.,Liander N.V. (NW),,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,39,100,56.41,100,28,3x80,18739,41.03,28.21,1
Liander N.V.,Liander N.V. (NW),,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,19,100,5.26,100,58,3x25,4026,47.37,0,1.5
Liander N.V.,Liander N.V. (NW),,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,100,10.53,100,63,3x25,3184,31.58,5.26,1
,Liander N.V. (NW),,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,29,1x35,20376,50,35.71,1.6
,Liander N.V. (NW),,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,100,100,100,67,1x25,4170,14.29,4.76,1.1
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,21,100,90.48,100,48,1x35,8036,38.1,38.1,1.1
,Liander N.V. (NW),,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,100,53.85,100,46,3x25,9676,30.77,0,1
Liander N.V.,Liander N.V. (NW),,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,16,100,81.25,100,44,3x25,12731,68.75,56.25,2
,Liander N.V. (NW),,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,29,100,79.31,100,38,1x35,2547,48.28,41.38,1.3
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,100,70,100,50,1x35,6169,55,45,1
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,32,100,90.63,100,44,1x35,7541,25,15.63,1.3
,Liander N.V. (NW),,Prins Hendrikkade,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,11,100,63.64,100,45,3x25,5247,54.55,18.18,1.4
,Liander N.V. (NW),,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,36,3x25,7889,35.71,21.43,1.3
,Liander N.V. (NW),,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,100,83.33,100,44,3x25,3988,50,44.44,1.1
,Liander N.V. (NW),,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,20,100,95,100,55,1x35,2395,40,30,1.3
Liander N.V.,Liander N.V. (NW),,Buiten Bantammerstraat,1011AX,1011AX,AMSTERDAM,NL,ELK,KVB,17,100,82.34999999999999,100,59,3x25,3906,70.59,64.70999999999999,1
,Liander N.V. (NW),,Schippersstraat,1011AZ,1011AZ,AMSTERDAM,NL,ELK,KVB,30,100,76.67,100,53,1x35,2967,100,73.33,2
Liander N.V.,Liander N.V. (NW),,Schippersstraat,1011BA,1011BA,AMSTERDAM,NL,ELK,KVB,19,94.73999999999999,36.84,100,68,3x25,2228,57.89,31.58,1
Liander N.V.,Liander N.V. (NW),,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,ELK,KVB,24,100,95.83,100,50,1x35,3241,50,41.67,1.2
Liander N.V.,Liander N.V. (NW),,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,30,93.33,76.67,100,60,3x25,3349,46.67,46.67,1.1
Liander N.V.,Liander N.V. (NW),,Binnenkant AB,1011BE,1011BG,AMSTERDAM,NL,ELK,KVB,30,100,70,100,47,1x35,2712,20,10,1.2
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,34,100,94.12,100,50,1x35,3105,52.94,50,1.1
,Liander N.V. (NW),,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,22,100,90.91,100,45,3x25,5658,31.82,13.64,1.2
,Liander N.V. (NW),,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,100,100,100,50,1x35,2159,12.5,12.5,1
,Liander N.V. (NW),,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,100,95.65000000000001,100,87,1x35,2020,30.43,21.74,1.2
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,100,71.43000000000001,100,67,3x25,2882,19.05,19.05,1
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,18,100,88.89,100,78,3x25,2643,16.67,5.56,1.4
,Liander N.V. (NW),,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,100,100,100,67,1x35,1794,26.67,20,1.2
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,32,100,78.13,100,59,3x25,2948,56.25,53.13,1.3
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,96.77,93.55,100,48,3x25,2337,45.16,45.16,1.1
,Liander N.V. (NW),,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,23,100,65.22,100,61,3x25,2309,60.87,56.52,1
,Liander N.V. (NW),,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,100,96.97,100,64,1x25,2280,75.76000000000001,75.76000000000001,1
,Liander N.V. (NW),,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,100,100,100,82,1x25,1486,95.45,95.45,2
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,96.43000000000001,92.86,100,43,1x25,3793,78.56999999999999,78.56999999999999,1
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,38,100,57.89,100,53,3x25,1810,55.26,55.26,1
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,25,100,80,100,40,1x35,2300,76,76,1
,Liander N.V. (NW),,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,21,100,90.48,100,48,1x25,1971,61.9,57.14,1
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot  94 to,1011CD,1011CD,AMSTERDAM,NL,ELK,KVB,19,100,94.73999999999999,100,63,1x25,2321,89.47,84.20999999999999,1.5
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CE,1011CE,AMSTERDAM,NL,ELK,KVB,12,83.33,75,100,42,3x25,2400,50,58.33,1.5
Liander N.V.,Liander N.V. (NW),,Oude Waal AB,1011CG,1011CH,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,36,1x35,10844,21.43,7.14,1.2
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CJ,1011CJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,75,1x25,4514,25,18.75,1.1
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CK,1011CK,AMSTERDAM,NL,ELK,KVB,14,100,100,100,79,1x25,2412,7.14,7.14,1
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,100,100,100,80,1x25,1649,10,10,1
Liander N.V.,Liander N.V. (NW),,Nieuwe Jonkerstraat,1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,73,100,82.19,100,36,3x25,2492,50.68,47.95,1
,Liander N.V. (NW),,Nieuwe Ridderstraat,1011CN,1011CN,AMSTERDAM,NL,ELK,KVB,16,100,81.25,100,63,3x25,4634,68.75,50,1.2
Liander N.V.,Liander N.V. (NW),,Nieuwe Ridderstraat,1011CP,1011CR,AMSTERDAM,NL,ELK,KVB,25,100,92,100,48,1x25,2203,44,40,1
,Liander N.V. (NW),,Recht Boomssloot,1011CS,1011CS,AMSTERDAM,NL,ELK,KVB,26,100,96.15000000000001,100,69,1x25,1784,19.23,19.23,1
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot,1011CT,1011CT,AMSTERDAM,NL,ELK,KVB,18,100,88.89,100,44,3x25,2435,0,0,1
,Liander N.V. (NW),,Recht Boomssloot,1011CV,1011CV,AMSTERDAM,NL,ELK,KVB,19,100,100,100,53,1x25,1539,36.84,36.84,1.1
,Liander N.V. (NW),,Recht Boomssloot,1011CW,1011CW,AMSTERDAM,NL,ELK,KVB,15,93.33,93.33,100,53,1x25,2090,13.33,13.33,1
,Liander N.V. (NW),,Recht Boomssloot,1011CX,1011CX,AMSTERDAM,NL,ELK,KVB,19,100,100,100,68,1x25,2615,5.26,5.26,1
,Liander N.V. (NW),,Recht Boomssloot,1011CZ,1011CZ,AMSTERDAM,NL,ELK,KVB,22,81.81999999999999,86.36,100,59,1x25,2341,22.73,22.73,1.1
,Liander N.V. (NW),,Lastageweg,1011DB,1011DB,AMSTERDAM,NL,ELK,KVB,10,100,100,100,90,1x25,4994,20,10,1.1
,Liander N.V. (NW),,J.W. Siebbeleshof,1011DC,1011DD,AMSTERDAM,NL,ELK,KVB,127,100,96.84999999999999,100,90,1x35,3945,96.84999999999999,96.06,2
,Liander N.V. (NW),,W Frederik Hermansstr,1011DG,1011DG,AMSTERDAM,NL,ELK,KVB,87,100,98.84999999999999,100,93,1x35,3520,100,98.84999999999999,
,Liander N.V. (NW),,Oosterdoksstraat,1011DK,1011DL,AMSTERDAM,NL,ELK,KVB,68,100,92.65000000000001,100,76,1x35,5901,51.47,50,1
Liander N.V.,Liander N.V. (NW),,Dijkdwarsstraat,1011DZ,1011EA,AMSTERDAM,NL,ELK,KVB,52,100,80.77,100,67,1x25,2787,30.77,26.92,1.1
,Liander N.V. (NW),,Recht Boomssloot,1011EB,1011EB,AMSTERDAM,NL,ELK,KVB,24,100,100,100,83,1x25,1687,66.67,62.5,1.1
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot,1011EC,1011EC,AMSTERDAM,NL,ELK,KVB,19,100,89.47,100,47,1x25,7251,21.05,5.26,1.2
,Liander N.V. (NW),,Recht Boomssloot,1011ED,1011ED,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,1x25,1554,28.57,28.57,1
,Liander N.V. (NW),,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,ELK,KVB,16,100,100,100,100,1x25,1681,0,0,1
,Liander N.V. (NW),,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,ELK,KVB,37,100,91.89,100,49,1x25,3164,40.54,37.84,1
,Liander N.V. (NW),,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,ELK,KVB,40,100,92.5,100,48,1x25,3311,57.5,55,1.2
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,ELK,KVB,46,100,89.13,100,39,1x25,5872,34.78,28.26,1.1
Liander N.V.,Liander N.V. (NW),,geldersekd,1011EK,1011EK,AMSTERDAM,NL,ELK,KVB,27,100,96.3,100,33,3x25,6258,51.85,44.44,1.2
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,ELK,KVB,48,100,85.42,100,46,1x25,4994,33.33,22.92,1.1
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,ELK,KVB,23,100,86.95999999999999,100,48,1x25,4603,39.13,34.78,1.2
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,ELK,KVB,30,100,96.67,100,63,1x25,5893,30,23.33,1.2
,Liander N.V. (NW),,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,ELK,KVB,10,100,100,100,40,1x25,2723,50,50,1
